Id,Name,Rating,Discount(%),CashBack,Cost_for_Two(₹),City,Locality,Home_Delivery,Manu_Count
0,I Love Babycakes,3.7,10,100,500,Mumbai,Tardeo,FALSE,5
1,Amul Ice Cream Parlour,3,10,75,300,Mumbai,Mumbai Central,FALSE,3
2,Sai Sandwich Centre,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
3,Sarahs Kitchen,2,10,50,400,Mumbai,Mumbai Central,FALSE,0
4,Mumbai Central Pav Bhaji & Pasta Centre,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
5,Sarah's Kitchen,2,10,50,200,Mumbai,Mumbai Central,FALSE,0
6,Santosh Pure Veg Restaurant,2,10,50,350,Mumbai,Mumbai Central,FALSE,0
7,Soul Restaurant,3,5,30,200,Mumbai,Grant Road,FALSE,0
8,Flora Fountain,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
9,The Frankie Adda,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
10,London Dairy,2,10,50,200,Mumbai,Mumbai Central,FALSE,3
11,Jhunka Baakhar Anna Kendra,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
12,Nothing But Chicken,4.3,10,50,500,Mumbai,Mumbai Central,FALSE,2
13,Shakey Wakey,3,10,75,400,Mumbai,Mumbai Central,FALSE,5
14,Shakey Wakey,3.9,10,75,350,Mumbai,August Kranti Maidan,FALSE,3
15,Food Corp,3.9,10,100,500,Mumbai,Mumbai Central,FALSE,9
16,Mithaas,4,10,50,200,Mumbai,Mumbai Central,FALSE,15
17,Kalpana,4,10,125,600,Mumbai,Mumbai Central,FALSE,25
18,Mithaas-Sweetness & More,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
19,Shark Bite,3,10,30,350,Mumbai,Mumbai Central,FALSE,3
20,Anand Foodland Veg & Non-Veg,3.2,10,50,200,Mumbai,Mumbai Central,FALSE,4
21,Punjab Sind,3.9,10,50,200,Mumbai,Mumbai Central,FALSE,1
22,Muchhad Kulfi & Falooda,4.1,10,50,300,Mumbai,Mumbai Central,FALSE,6
23,Shree Samarth,3.9,10,100,500,Mumbai,Mumbai Central,FALSE,7
24,T3 Vada Pav Centre,3,5,30,100,Mumbai,Grant Road,FALSE,1
25,Shree Ganesh Fast Foods,2,10,50,200,Mumbai,Tardeo,FALSE,3
26,Hotel Anand Food Land,2,10,50,500,Mumbai,Tardeo,FALSE,0
27,Muchhad Panwala,2,10,50,50,Mumbai,Mumbai Central,FALSE,0
28,Sai Samrat Pure Veg,3.7,10,100,800,Mumbai,Mumbai Central,FALSE,35
29,Chinese Corner,3,5,30,350,Mumbai,Grant Road,FALSE,0
30,SIDRA FAST FOOD CORNER,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
31,Karim's,4.2,10,150,700,Mumbai,Mumbai Central,FALSE,0
32,Central Sweets,4.2,10,50,500,Mumbai,Mumbai Central,FALSE,9
33,Snack N Slurp,4,10,50,300,Mumbai,Mumbai Central,FALSE,3
34,Tardev Fast Food Corner,3,5,30,250,Mumbai,Tulsiwadi,FALSE,0
35,Aandata Aahar,2,10,50,500,Mumbai,Khardi,FALSE,0
36,The Cake House,3,5,30,300,Mumbai,Tardeo,FALSE,0
37,Shree Sai,3.2,10,50,250,Mumbai,Mumbai Central,FALSE,0
38,Frosty Delight,3,5,30,500,Mumbai,Tulsiwadi,FALSE,0
39,Anna Leela Veg Wonders,3.7,10,100,1200,Mumbai,Mumbai Central,FALSE,19
40,Salim's Shahi Sigdi,3.7,10,75,600,Mumbai,Mumbai Central,FALSE,2
41,MS Paan,4.2,10,50,100,Mumbai,Mumbai Central,FALSE,8
42,Shri princess,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
43,Sea Prince Bar And Restaurant - New Madras Cafe,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
44,Central Bar,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
45,Monginis,3.8,10,75,500,Mumbai,Mumbai Central,FALSE,3
46,Chikki Ladoo Stores,2,10,50,500,Mumbai,Khardi,FALSE,0
47,Kalpana Veg Restaurant,3.8,10,50,500,Mumbai,Mumbai Central,FALSE,0
48,Khan's,3.8,10,50,400,Mumbai,Mumbai Central,FALSE,8
49,Mumbai Central Juice & Snacks Centre,4.2,10,50,300,Mumbai,Mumbai Central,FALSE,11
50,Anna Leela Udipi Refreshment,2,10,50,250,Mumbai,Kamathipura,FALSE,0
51,Shagun Veg Restaurant,3.9,10,50,500,Mumbai,Mumbai Central,FALSE,0
52,Natural Ice Cream,4.2,10,30,250,Mumbai,Mumbai Central,FALSE,3
53,Samudra Bar,2,10,100,500,Mumbai,Mumbai Central,FALSE,0
54,S&S Fast Food,3.5,10,50,200,Mumbai,Mumbai Central,FALSE,2
55,Shiv Shakti Vadapav Corner,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
56,Khao Woww,3,5,30,500,Mumbai,Mumbai Central,FALSE,2
57,Mughal Spices,2,10,50,500,Mumbai,Mumbai Central,FALSE,3
58,Hotel Sai Gomantak,2,10,50,500,Mumbai,Khardi,FALSE,11
59,Choice Food Corner,2,10,100,500,Mumbai,Mumbai Central,FALSE,0
60,Garib Namaj,2,10,50,500,Mumbai,Tulsiwadi,FALSE,0
61,Amrut Punjab,4.3,10,75,700,Mumbai,Mumbai Central,FALSE,14
62,S&S Sandwich,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
63,Captain Hotel,3.6,10,50,500,Mumbai,Mumbai Central,FALSE,0
64,Diablo Pizza,4.2,10,50,500,Mumbai,Mumbai Central,FALSE,0
65,The Belgian Waffle Co.,4,10,75,300,Mumbai,Mumbai Central,FALSE,8
66,Samudra Restaurant & Bar,4.3,10,125,600,Mumbai,Mumbai Central,FALSE,8
67,Deshi Videshi,2,10,50,300,Mumbai,Tardeo,FALSE,2
